Date,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,NIO
2020-06-15,76.5,12.199999809265137,15.140000343322754,36.5,43.25,4.227375030517578,16.299999237060547,129.3000030517578,29.200000762939453,6.829999923706055
2020-06-16,76.9000015258789,12.319999694824219,15.800000190734863,37.400001525878906,43.79999923706055,4.304235935211182,16.760000228881836,130.89999389648438,29.799999237060547,6.989999771118164
2020-06-17,76.9000015258789,12.279999732971191,15.680000305175781,37.70000076293945,43.75,4.2465901374816895,17.459999084472656,133.3000030517578,30.25,6.840000152587891
2020-06-18,77.19999694824219,12.279999732971191,16.100000381469727,37.099998474121094,44.099998474121094,4.304235935211182,17.5,133.3000030517578,30.399999618530273,7.179999828338623
2020-06-19,77.5,12.220000267028809,17.1200008392334,37.349998474121094,44.099998474121094,4.2754130363464355,17.81999969482422,135.3000030517578,30.950000762939453,7.340000152587891
2020-06-22,75.75,12.0600004196167,17.260000228881836,36.70000076293945,43.54999923706055,4.256197929382324,17.479999542236328,133.89999389648438,30.299999237060547,7.429999828338623
2020-06-23,77.3499984741211,12.220000267028809,17.260000228881836,37.45000076293945,43.849998474121094,4.333058834075928,17.8799991607666,134.6999969482422,30.399999618530273,7.230000019073486
2020-06-24,76.80000305175781,12.100000381469727,16.559999465942383,37.0,43.400001525878906,4.352273941040039,18.18000030517578,134.39999389648438,30.0,6.860000133514404
2020-06-25,,,,,,,,,,7.079999923706055
2020-06-26,76.1500015258789,12.0,16.139999389648438,36.70000076293945,43.349998474121094,4.265804767608643,18.299999237060547,132.60000610351562,29.600000381469727,6.900000095367432
2020-06-29,75.5,11.960000038146973,16.020000457763672,36.04999923706055,42.79999923706055,4.2465901374816895,18.059999465942383,130.0,29.299999237060547,7.230000019073486
2020-06-30,76.0,12.0,15.760000228881836,36.20000076293945,42.150001525878906,4.2465901374816895,18.020000457763672,130.10000610351562,29.399999618530273,7.71999979019165
2020-07-01,,,,,,,,,,7.909999847412109
