Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK
2020-09-28,4628062,2756802,12711944,5024995,150402170,1565264,7631236,281740,2380783,2751565
2020-09-29,5319638,4226947,18439526,2531181,55920302,2852945,6945123,467285,2224284,3031193
2020-09-30,6518072,3531552,19663506,3303275,35285507,3204052,8169803,830514,1743145,3376376
2020-10-05,5219906,2955224,23303190,4080925,69650604,2267862,7172047,1810384,2112650,3892916
2020-10-06,4209146,1074211,8576636,2157155,28877682,1186876,8062772,360000,1714735,2425253
2020-10-07,3805716,2792891,12453320,3362218,29318889,1234461,6995084,1266028,1764004,1566365
2020-10-08,2873958,2106861,12296993,2119318,15582313,1085575,7115431,498028,1587690,1467710
2020-10-09,5360334,2016458,7568498,1732562,20790756,1114308,5572008,534150,1401415,1288772
2020-10-12,12414632,2329425,10228301,2352982,33931078,1347814,10762417,1437471,2417579,2625920
2020-10-14,6466392,2175942,17322523,1819818,31480937,1766460,12493684,637908,2160836,3307624
2020-10-15,5567503,1949239,33641951,1394011,41648851,2128455,4949974,457000,1945693,2431506
2020-10-16,5208505,1605623,18697192,1495457,18962836,1208223,14251713,388000,1965881,2445819
2020-10-19,3802996,1313887,9931382,971002,28515009,1173147,5737716,388510,2545387,1350517
2020-10-20,4193083,1955206,10158388,3035992,22502287,1345733,8743397,611461,2813362,1466961
2020-10-21,4829584,3257041,19664467,2740844,17002007,2337336,9302886,792610,1397248,1922309
2020-10-22,4902349,3306303,18210450,2043595,22072777,2191331,7437391,513800,990677,1815668
2020-10-23,3814539,1610169,12905223,3267249,67908927,2604522,5343119,787000,7102329,1237727
2020-10-27,12095106,3464986,16776468,1993795,106318304,2394396,7763233,3026304,5491248,1982312
2020-10-28,9793752,2475142,17792313,2410129,51755011,2042334,6794427,2033754,2183527,2207965
2020-10-29,5534049,2583118,19612482,2148823,32120556,2700689,8956655,324969,2611994,1541188
2020-10-30,8866764,3389565,14387269,2196541,31133678,2512947,18633461,476000,2455566,3335244
2020-11-02,7113002,1963224,14649220,2581146,34326565,2336198,10056140,839000,2530554,3022157
2020-11-03,8777554,1843010,11030712,5309205,47342668,2424213,18958736,877300,4206078,2533799
2020-11-04,4846441,1444548,16160856,4541100,81474334,1508859,6980912,1056000,3773825,4669486
2020-11-05,27156685,2294118,23520696,3173387,46078997,1954029,9193564,866664,3338102,3259282
2020-11-06,10373673,2616507,22115707,3659927,41024413,2245233,10293715,1433206,1464123,3486252
2020-11-09,12319219,3505443,12774371,3590528,28966377,2488051,11169075,440206,1327825,2125445
2020-11-10,17592968,6133069,27411216,8830753,116830209,3237999,11273402,4936300,5273602,4455490
2020-11-11,22254692,7743663,44726886,7542878,97089785,4182125,19268493,1330724,4637721,5046074
2020-11-12,14229245,2712957,30311619,2153159,45560983,3056912,7681717,486280,3665817,2941574
2020-11-13,17366031,3354580,20250837,2791385,41586505,2519796,6413810,1328478,1876166,2408825
2020-11-16,10758238,1937431,16022093,1895505,36533520,1698864,5202385,1111750,1168013,1839315
2020-11-17,22762985,3026315,15178537,4617383,42547668,2259691,10594305,869337,2110544,2878009
2020-11-18,10609943,3625917,17592519,4707328,36579851,2093043,4511352,831000,2967469,3421436
2020-11-19,9892112,3004475,14939169,6031630,30734201,3163986,11068187,1085600,2230962,1477927
2020-11-20,7166073,3053678,20090897,3414270,20277468,2212150,10615135,589740,1964250,3296159
2020-11-23,7884584,3685785,11514494,4070330,18219561,2824176,7180948,331332,1250338,3264978
2020-11-24,5648126,3037067,14026650,2226997,24252795,2094286,8522838,608482,1435077,3882082
2020-11-25,10099746,4155217,19411866,6605633,107805377,3948767,10245800,925785,4461175,9332666
2020-11-26,4052222,3050597,11649309,4401755,56764441,1056259,5100022,253000,1827110,2756115
2020-11-27,4796807,3549559,14298702,3681661,48916847,2558447,10808386,313162,2752721,2862999
2020-11-30,14730861,9219571,42404345,9997457,35056130,6904912,32598527,1931188,8330180,9442233
2020-12-01,7718619,3572662,41612482,6377820,48696915,3394064,9925151,1299250,2425340,5436021
2020-12-02,6665881,3266373,12028698,5302000,57225027,2770690,9854492,939000,2486493,1550331
2020-12-03,5831124,4468500,13621770,4908720,43365022,2058735,5677595,676592,1431020,2704689
2020-12-04,8590021,7111144,31998114,5725800,78097207,3928268,5077311,530000,2338263,4984501
2020-12-07,7460131,5116038,22137806,2797969,38401366,4880727,6904821,527270,2095718,3061009
2020-12-08,7438449,2196496,11327138,6205098,47719149,2496970,10685547,1186200,1550156,1853900
2020-12-09,8305680,3544658,13080803,4471097,26247730,2325297,9540719,1031142,1194585,2142135
2020-12-10,6864142,3712063,12802819,4274202,13294583,2491029,6961781,689432,1116710,1911799
2020-12-11,5105821,4171917,16466164,3319328,29090034,3024770,10422135,640076,1442839,1912486
2020-12-14,4064629,2633067,26887893,2619444,32650410,1832186,9576637,412234,1102137,980852
2020-12-15,9523140,4204531,14272215,3378313,38355782,2917560,9053817,432181,1775433,2903472
2020-12-16,8384327,4050617,11686931,2400563,34039265,1715231,7472031,1429366,1566107,2171854
2020-12-17,7440081,3517574,17460432,2146000,21812272,2111785,6513922,867900,1889944,2750154
2020-12-18,9361071,5317517,20425037,13424988,16213637,3284573,11436571,1739300,2294148,2196039
2020-12-21,6585877,2274086,12345790,4273126,43011048,2326636,5506867,652230,1708128,1827874
2020-12-22,8525578,2748452,11340845,3681535,20537983,2049865,6872273,347163,1133793,1705304
2020-12-23,4241973,1820847,13126490,1639541,11058184,1753473,6578589,328066,953724,1250980
2020-12-24,0,0,0,0,0,0,0,0,0,0
2020-12-28,4250335,2283408,13137595,2428763,34795081,2139048,4736434,252000,1032515,1147128
2020-12-29,3881217,1572734,9340411,1759263,18625915,1372019,4974912,803000,664955,1138956
2020-12-30,3998051,3396159,17138625,3384921,19366003,2587108,3284477,318000,1040218,1834697
2020-12-31,0,0,0,0,0,0,0,0,0,0
2021-01-04,5341440,4118523,14962421,2696102,20433690,3751225,7545340,1085000,2043175,2566939
2021-01-05,6587213,3280528,26327548,4625386,17133338,3670632,13618482,1685030,2215486,4730771
2021-01-06,5445803,2263965,16335797,2303676,37778767,3385527,9065548,615547,2080953,2708900
2021-01-07,9225540,2813010,17655501,2692963,71074555,3390375,11251305,475000,6169218,1736116
2021-01-08,6376366,3271381,20955705,2955215,36759304,3543277,18154316,283000,3712247,3110611
2021-01-11,5321964,1988339,15823602,1788974,20501368,3101442,13623737,543190,1979223,3663539
2021-01-12,8233665,3288466,20220422,2030572,20905160,3877872,10965506,895058,1735316,3690070
2021-01-13,6227280,3280401,35496614,2844195,29411073,4105326,8584977,2075825,1255536,2702738
2021-01-14,5021038,2001708,29117564,1356574,19806325,3492876,11941419,726596,1226524,2063723
2021-01-15,6439995,3334220,20475773,3929576,24016989,3578224,18252831,1321000,1315115,2165837
2021-01-18,4504241,2730279,17931852,4208000,35136246,2168191,10586479,647000,1422613,2223791
2021-01-19,8357330,4487449,38063635,2752717,55904213,2997456,15784630,670058,2050743,5803834
2021-01-20,7284164,2500936,153519078,2114107,29536761,2066029,14741838,908058,2700015,3145344
2021-01-21,6050077,3992732,25066358,1637402,58585221,2783611,23164212,820000,2976672,3115314
2021-01-22,8147197,3133406,19861044,2075798,26850952,2578130,16036083,537000,1921693,3374237
2021-01-25,13630331,3456490,21767319,2348596,22936873,4242076,14262909,788058,1412535,3454666
2021-01-26,8115961,3300453,21676184,1603733,23091145,2399594,12045483,1726896,1508789,2460670
2021-01-27,6786243,5975076,18119537,2425420,19910229,2575564,20192891,2060804,2422961,2944346
2021-01-28,6894970,4073213,31026758,1779024,36935168,3103678,16964561,2722058,3536950,4526089
2021-01-29,11305939,6345662,38621826,3124488,30804534,6675048,26728877,1726000,2587037,6008923
2021-02-01,7128273,2794901,16694851,2285942,25140139,3767850,27046813,1491048,1484243,4011949
2021-02-02,4921617,3564166,25787289,854461,18957865,2800856,14361198,744048,2002955,1926745
2021-02-03,11840471,3271408,30484390,1932343,22026816,2084071,11910026,794000,1359560,2118418
2021-02-04,6531633,3284496,22834056,1862756,24852170,2835184,12199247,990771,1458076,3069327
2021-02-05,9792947,2548564,21822194,777228,29839423,2796841,10316910,909825,1206411,2240990
2021-02-08,7540154,2134555,14648288,1088904,17954523,2110616,19635077,530000,1139531,2010632
2021-02-09,6000939,1800475,13249417,1170787,17026295,1426401,12555666,638000,1509974,2140009
2021-02-10,4685842,1528486,15162938,2002209,23428359,1856717,46337374,470916,2986115,1987457
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-16,12973202,3644168,26260359,2526857,90085953,3173684,18559781,863000,4947892,3906607
2021-02-17,7194110,3971104,21525722,3516101,67314629,2447930,9231346,342650,2096468,2795792
2021-02-18,5145826,2865739,17853533,2528648,45469560,3242549,8475555,1034090,1560656,2461665
2021-02-19,5700914,3657526,19455586,1493972,31829216,2125722,9750923,1428490,1391060,2606520
2021-02-22,17123080,5638018,38007031,2421775,54301785,3239717,9871183,1044396,3300299,7356633
2021-02-23,13312089,7739263,45020703,4294789,103770263,3929218,5968956,952060,5310892,6136855
2021-02-24,19324126,12001880,67491099,7703392,60287540,6565305,12182356,815060,4252229,6656243
2021-02-25,16181765,5663380,27852317,3403370,67926724,4239961,16026766,633250,3321834,5500970
2021-02-26,14895419,5113008,35641299,6303141,51003641,4181481,23094705,1188002,3610017,3617303
2021-03-01,6571720,4555292,22670787,2893268,40401581,2974120,13589739,984580,2389943,3393411
2021-03-02,8635024,5475233,24895724,2546307,40008344,3217902,7989626,703541,2362020,3316535
2021-03-03,5343695,3780388,19571718,3500789,28011412,2907115,9213425,580066,2836722,4014715
2021-03-04,10084497,5066413,19414726,2350136,21548948,3072930,13166596,574000,1996325,2765808
2021-03-05,9241197,5558073,17585226,3094902,21428414,1949963,13710396,841000,1479906,2105742
2021-03-08,11226020,5788512,39945614,2465496,51294826,6831538,18245378,547000,2601237,2727942
2021-03-09,20584486,8908079,47842926,6079872,56519527,5301643,14797806,497220,2823453,4489877
2021-03-10,12047948,5191172,19637652,7936028,33606378,2862385,13565288,696745,1995236,2202140
2021-03-11,7580137,4463056,17120115,5701514,26835956,2545968,10421421,427740,1992173,3048642
2021-03-12,9975859,6326403,31386596,6747576,32823310,3815493,7951600,645040,2436439,3302213
