0667.HK,中國東方教育
0669.HK,創科實業
0670.HK,中國東方航空股份
0672.HK,眾安集團
0677.HK,金源米業
0678.HK,雲頂香港
0680.HK,南海控股
0683.HK,嘉里建設
0686.HK,北京能源國際
0687.HK,泰昇集團
0688.HK,中國海外發展
0690.HK,聯康生物科技集團
0691.HK,山水水泥
0693.HK,陳唱國際
0694.HK,北京首都機場股份
0695.HK,東吳水泥
0696.HK,中國民航信息網絡
0697.HK,首程控股
0698.HK,通達集團
0699.HK,神州租車
0700.HK,騰訊控股
0701.HK,CNT GROUP
0708.HK,恒大汽車
0709.HK,佐丹奴國際
0710.HK,京東方精電
0711.HK,亞洲聯合基建控股
0715.HK,中泛控股
0716.HK,勝獅貨櫃
0717.HK,英皇證券
0718.HK,太和控股
0719.HK,山東新華製藥股份
0720.HK,意達利控股
0721.HK,中國金融國際
0722.HK,聯合醫務
0726.HK,築友智造科技
0727.HK,皇冠環球集團
0728.HK,中國電信
0732.HK,信利國際
0733.HK,合富輝煌
0737.HK,灣區發展－Ｒ
0737.HK,灣區發展
0743.HK,亞洲水泥（中國）
0746.HK,理文化工
0750.HK,水發興業能源
0751.HK,創維集團
0752.HK,PICO FAR EAST
0753.HK,中國國航
0754.HK,合生創展集團
0757.HK,陽光能源
0762.HK,中國聯通
0763.HK,中興通訊
0769.HK,中國稀土
0771.HK,自動系統
0772.HK,閱文集團
0775.HK,長江生命科技
0776.HK,帝國集團環球控股
0777.HK,網龍
0780.HK,同程藝龍
0788.HK,中國鐵塔
0797.HK,第七大道
0798.HK,中電光谷
0799.HK,IGG
0806.HK,惠理集團
0807.HK,上海實業環境
0809.HK,大成生化科技
0811.HK,新華文軒
0813.HK,世茂集團
0815.HK,中國白銀集團
0817.HK,中國金茂
0818.HK,高陽科技
0819.HK,天能動力
0823.HK,領展
0825.HK,新世界百貨中國
0826.HK,天工國際
0829.HK,神冠控股
0830.HK,中國建築興業
0831.HK,利亞零售
0832.HK,建業地產
0836.HK,華潤電力
0837.HK,譚木匠
0838.HK,億和控股
0839.HK,中教控股
0845.HK,恒盛地產
0848.HK,茂業國際
0852.HK,海峽石油化工
0853.HK,微創醫療
0855.HK,中國水務
0856.HK,偉仕佳杰
0857.HK,中國石油股份
0860.HK,力世紀
0861.HK,神州控股
0862.HK,遠見控股
0863.HK,ＢＣ科技集團
0865.HK,建德國際控股
0867.HK,康哲藥業
0868.HK,信義玻璃
0873.HK,世茂服務
0874.HK,白雲山
0876.HK,佳兆業健康
0878.HK,金朝陽集團
0880.HK,澳博控股
0881.HK,中升控股
0882.HK,天津發展
0883.HK,中國海洋石油
0884.HK,旭輝控股集團
0887.HK,英皇鐘錶珠寶
0895.HK,東江環保
0896.HK,興勝創建
0898.HK,萬事昌國際
0900.HK,AEON CREDIT
0902.HK,華能國際電力股份
0906.HK,中糧包裝
0908.HK,珠海控股投資
